일시,외부기온,일사량,내부온도,내부습도,내부co2,환기온도,차광및보온커튼1,차광및보온커튼2,난방온도,측면보온커튼
2017-10-15 0:00,12.9,0,16.39,93,469,0,0,0,15.9,100
2017-10-15 1:00,12.24,0,15.7,95,475.62,0,0,0,15.9,100
2017-10-15 2:00,12.11,0,15.81,98,492.73,0,0,0,15.9,100
2017-10-15 3:00,12.41,0,15.8,97.87,509.73,0,0,0,15.9,100
2017-10-15 4:00,12,0,15.3,99.87,527.73,0,0,0,15.9,100
2017-10-15 5:00,11.99,0,15.6,100,544.72,0,93,0,15.9,100
2017-10-15 6:00,10.73,0,16.21,99.14,565,40.72,93,0,16.09,100
2017-10-15 7:00,10.69,4.56,16.37,99,582,46.85,93,0,17.09,100
2017-10-15 8:00,11.59,55.83,17.77,99.85,574.29,35.73,0,0,17,100
2017-10-15 9:00,12.73,65.53,15.29,92.56,410.73,43.41,0,0,17,100
2017-10-15 10:00,13.5,140.31,17.18,90.85,386.31,29.15,0,0,17,100
2017-10-15 11:00,15.68,279.45,17.97,76.31,380.31,0,0,0,17,0
2017-10-15 12:00,18.5,570.24,20.92,68,372.12,0,0,0,17,0
2017-10-15 13:00,19.8,420.04,21.16,60.68,369.48,0,0,0,17,0
2017-10-15 14:00,20.77,467.25,21.95,59.83,359.66,0,0,0,17,0
2017-10-15 15:00,20.52,258.5,21.32,60.83,362.67,0,0,0,17,0
2017-10-15 16:00,20.12,163.33,20.63,66.17,359.83,0,0,0,17,0
2017-10-15 17:00,19.03,60.08,19.55,72,364.65,0,0,0,15.5,100
2017-10-15 18:00,17.42,2.17,17.83,80,378,0,0,0,15.5,100
2017-10-15 19:00,16.22,0,16.7,82,389,0,0,0,15.5,100
2017-10-15 20:00,15.04,0,15.24,86.82,395,0,0,0,15.5,100
2017-10-15 21:00,15.28,0,16.2,89.82,411,0,0,0,15.5,100
2017-10-15 22:00,14.06,0,15.72,93.81,416.63,0,0,0,15.5,100
2017-10-15 23:00,14.16,0,15.6,97,440.63,0,0,0,15.5,100
2017-10-16 0:00,14.1,0,15.32,99,460.61,0,0,0,15.5,100
2017-10-16 1:00,13.52,0,15.5,100,481,0,0,0,15.5,100
2017-10-16 2:00,13.5,0,15.48,100,499.61,0,0,0,15.5,100
2017-10-16 3:00,13.68,0,15.5,100,518,0,0,0,15.5,100
2017-10-16 4:00,13.5,0,15.4,100,536.6,0,0,0,15.5,100
2017-10-16 5:00,13.52,0,15.4,100,553.59,0,0,0,15.5,100
2017-10-16 6:00,13.7,0,15.4,100,569.59,0,0,0,15.58,100
2017-10-16 7:00,14.28,6.59,15.68,100,583,25.39,0,0,16.58,100
2017-10-16 8:00,14.78,43.59,17.46,100,583,35.85,0,0,17,100
2017-10-16 9:00,15.78,86.09,17.68,97,437.69,0,0,0,16.92,100
2017-10-16 10:00,16.98,222.16,17.88,80.66,377.46,0,0,0,16,0
2017-10-16 11:00,17.6,194.7,17.93,81,374.44,0,0,0,16,0
2017-10-16 12:00,18.8,300.58,19.36,72.56,372,0,0,0,16,0
2017-10-16 13:00,19.75,321.95,20.38,68.77,379.91,0,0,0,16,0
2017-10-16 14:00,20.55,464.19,22.03,64.13,381.41,0,0,0,16,0
2017-10-16 15:00,21.25,335.2,21.95,64.23,374,0,0,0,16,0
2017-10-16 16:00,20.85,330.23,21.53,66.53,372.3,0,0,0,16,0
2017-10-16 17:00,20.32,93.77,19.95,67.47,375,0,0,0,15,98.2
2017-10-16 18:00,17.47,2.48,17.55,85,390,0,0,0,15.08,100
2017-10-16 19:00,16,0,15.72,88,401,0,0,0,15.5,100
2017-10-16 20:00,15.02,0,15.68,88.25,406.51,6.41,0,0,15.5,100
2017-10-16 21:00,14.08,0,15.1,89.25,419.51,34,0,0,15.5,100
2017-10-16 22:00,13.3,0,15.6,89,440,33,0,0,15.5,100
2017-10-16 23:00,13.23,0,16.03,90,459.49,0,0,0,15.5,100
2017-10-17 0:00,11.8,0,15.79,93,477,28.07,92,0,15.5,100
2017-10-17 1:00,10.71,0,15.4,90.06,494.88,0,93,0,15.5,100
2017-10-17 2:00,9.31,0,14.99,87.06,510,37,93,0,15.5,100
2017-10-17 3:00,8.72,0,15.6,86.07,524.87,54,93,0,15.5,100
2017-10-17 4:00,8.29,0,15.41,85,542.8,53.93,93,0,15.5,100
2017-10-17 5:00,8.18,0,15.21,86,556,59.93,93,0,15.5,100
2017-10-17 6:00,7.54,0,15.3,86,571,45.1,93,0,15.59,100
2017-10-17 7:00,6.71,2.93,16.89,85.07,577,73.07,93,0,16.59,100
2017-10-17 8:00,9.02,146.76,17.48,89,577.16,53.16,93,0,17,100
2017-10-17 9:00,14.07,295.28,18.82,82.08,420.72,0,0,0,17,0
2017-10-17 10:00,17.06,505.92,18.56,68.08,401.16,0,0,0,17,0
2017-10-17 11:00,19.35,602.48,20.68,57.17,392.43,0,0,0,17,0
2017-10-17 12:00,22.49,688.57,24.13,51.26,396.74,0,0,0,17,0
2017-10-17 13:00,22.14,522.33,22.03,51,399.07,0,0,0,17,0
2017-10-17 14:00,22.27,286.79,21.79,51.09,405.57,0,0,0,17,0
2017-10-17 15:00,21.62,257.85,21.7,55.91,384.03,0,0,0,17,0
2017-10-17 16:00,21.59,182.7,20.99,65.5,368.6,0,0,0,17,0.23
2017-10-17 17:00,19.25,30.6,19.64,75.9,385,0,0,0,15.7,100
2017-10-17 18:00,17.01,0.11,17.52,84.11,402.79,0,0,0,15.7,100
2017-10-17 19:00,15.92,0,16.49,86,423.79,0,0,0,15.7,100
2017-10-17 20:00,14.89,0,15.42,87,424,0,0,0,15.7,100
2017-10-17 21:00,14.3,0,15.5,88,432.77,0,0,0,15.7,100
2017-10-17 22:00,13.5,0,15.41,88.89,452.77,0,0,0,15.7,100
2017-10-17 23:00,12.81,0,15.39,88.12,473.76,31,0,0,15.7,100
2017-10-18 0:00,12.69,0,16.5,86,494,28.24,0,0,15.7,100
2017-10-18 1:00,12.2,0,15.79,89,506.75,29.25,0,0,15.7,100
2017-10-18 2:00,12.59,0,15.51,90.87,526.62,0,0,0,15.7,100
2017-10-18 3:00,13.29,0,16.11,91,542,0,0,0,15.7,100
2017-10-18 4:00,13.59,0,15.7,95,556.73,0,0,0,15.7,100
2017-10-18 5:00,13.69,0,15.6,96,570,0,0,0,15.7,100
2017-10-18 6:00,13.9,0,15.6,97,585.58,0,0,0,15.79,100
2017-10-18 7:00,13.99,1.86,15.69,97,597,35.72,0,0,16.79,100
2017-10-18 8:00,14.39,19,17.21,95.14,580.82,40,0,0,17,100
2017-10-18 9:00,15.67,85.91,17.29,85,397.73,0,0,0,17.5,100
2017-10-18 10:00,17.1,130.92,17.67,74.71,382.44,0,0,0,17,100
2017-10-18 11:00,17.97,239.47,18.57,64,418.38,0,0,0,17,0
2017-10-18 12:00,19.42,372.13,20.79,52.85,414.39,0,0,0,17,0
2017-10-18 13:00,19.57,154.47,19.57,62,393.29,0,0,0,17,100
2017-10-18 14:00,19.8,144.68,19.68,63.16,386.72,0,0,0,17,100
2017-10-18 15:00,19.9,127.88,19.93,60,381.4,0,0,0,17,56.8
2017-10-18 16:00,19.12,58.33,19,69.17,374.67,0,0,0,17,100
2017-10-18 17:00,18.22,14.83,18.02,83.17,383.5,0,0,0,15,100
2017-10-18 18:00,16.92,0,17.08,82.83,400.67,0,0,0,15,100
2017-10-18 19:00,16.13,0,16.52,81,397,0,0,0,15,100
2017-10-18 20:00,15.43,0,16,85.83,405,0,0,0,15,100
