³ó°¡¸í,Date,Year,Month,Day,Week,WeekNum,Sample,ÃÊÀå,»ýÀå±æÀÌ,È­¹æ³ôÀÌ,ÁÙ±â±½±â(mm),ÁÙ±â±½±â,¿±Àå,¿±Æø,¿±Àå(ÀüºÏ),¿±Æø(ÀüºÏ),¿±¼ö(ÀüºÏ),°³È­±º,°³È­±º(ÀüºÏ),Âø°ú±º,Âø°ú±º(ÀüºÏ),¼öÈ®±º,¿­¸Å¼ö
¹ø¿µ³óÀå,2017-09-12,2017,9,12,È­,37,1 ,,32.5 ,39.0 ,13.40 ,1.340 ,47.0 ,54.0 ,47.0 ,45.0 ,17 ,,2.00 ,,1.00 ,,4 
¹ø¿µ³óÀå,2017-09-12,2017,9,12,È­,37,2 ,,33.0 ,42.0 ,13.23 ,1.323 ,48.0 ,53.0 ,54.0 ,40.0 ,16 ,,1.33 ,,1.00 ,,4 
¹ø¿µ³óÀå,2017-09-12,2017,9,12,È­,37,3 ,,34.5 ,40.0 ,15.99 ,1.599 ,40.0 ,42.0 ,51.0 ,54.0 ,14 ,,1.60 ,,1.00 ,,5 
¹ø¿µ³óÀå,2017-09-12,2017,9,12,È­,37,4 ,,33.5 ,44.0 ,14.38 ,1.438 ,56.0 ,51.0 ,47.0 ,50.0 ,13 ,,1.40 ,,1.00 ,,4 
¹ø¿µ³óÀå,2017-09-19,2017,9,19,È­,38,1 ,,29.0 ,38.0 ,15.46 ,1.546 ,49.0 ,55.0 ,52.0 ,53.0 ,16 ,,4.00 ,,2.00 ,,8 
¹ø¿µ³óÀå,2017-09-19,2017,9,19,È­,38,2 ,,30.0 ,50.0 ,14.93 ,1.493 ,50.0 ,22.0 ,48.0 ,50.0 ,15 ,,3.67 ,,1.50 ,,6 
¹ø¿µ³óÀå,2017-09-19,2017,9,19,È­,38,3 ,,30.0 ,35.0 ,12.30 ,1.230 ,51.0 ,48.0 ,53.0 ,49.0 ,13 ,,2.67 ,,1.75 ,,8 
¹ø¿µ³óÀå,2017-09-19,2017,9,19,È­,38,4 ,,34.0 ,30.0 ,14.08 ,1.408 ,49.0 ,52.0 ,50.0 ,49.0 ,14 ,,2.33 ,,2.00 ,,7 
¹ø¿µ³óÀå,2017-09-26,2017,9,26,È­,39,1 ,,33.0 ,29.0 ,1.5,0.15,10.0 ,41.0 ,43.0 ,40.0 ,14,,3.60 ,,2.00 ,,12
¹ø¿µ³óÀå,2017-09-26,2017,9,26,È­,39,2 ,,29.5 ,28.0 ,17.31,1.731,50.0 ,58.0 ,51.0 ,53.0 ,15,,2.42 ,,2.00 ,,8
¹ø¿µ³óÀå,2017-09-26,2017,9,26,È­,39,3 ,,31.0 ,8.0 ,9.73,0.973,50.0 ,45.0 ,46.0 ,46.0 ,14,,3.75 ,,3.00 ,,9
¹ø¿µ³óÀå,2017-09-26,2017,9,26,È­,39,4 ,,30.0 ,27.0 ,14.18,1.418,53.0 ,55.0 ,52.0 ,53.0 ,18,,3.16 ,,3.00 ,,10
¹ø¿µ³óÀå,2017-10-02,2017,10,2,¿ù,40,1 ,,35.1 ,42.0 ,14.36 ,1.436 ,53.0 ,56.0 ,45.0 ,47.0 ,19 ,,4.33 ,,3.00 ,,12 
¹ø¿µ³óÀå,2017-10-02,2017,10,2,¿ù,40,2 ,,32.3 ,38.0 ,13.24 ,1.324 ,52.0 ,54.0 ,48.0 ,46.0 ,18 ,,3.50 ,,2.50 ,,8 
¹ø¿µ³óÀå,2017-10-02,2017,10,2,¿ù,40,3 ,,30.4 ,35.0 ,13.44 ,1.344 ,48.0 ,46.0 ,45.0 ,43.0 ,16 ,,3.40 ,,3.00 ,,12 
¹ø¿µ³óÀå,2017-10-02,2017,10,2,¿ù,40,4 ,,26.4 ,29.0 ,14.65 ,1.465 ,44.0 ,41.0 ,43.0 ,44.0 ,18 ,,3.67 ,,2.75 ,,10 
¹ø¿µ³óÀå,2017-10-09,2017,10,9,¿ù,41,1 ,,23.0 ,5.5 ,8.21 ,0.821 ,42.0 ,40.0 ,41.0 ,42.0 ,14 ,,6.00 ,,3.25 ,,15 
¹ø¿µ³óÀå,2017-10-09,2017,10,9,¿ù,41,2 ,,28.0 ,8.0 ,13.00 ,1.300 ,52.0 ,55.0 ,50.0 ,54.0 ,14 ,,4.67 ,,3.50 ,,10 
¹ø¿µ³óÀå,2017-10-09,2017,10,9,¿ù,41,3 ,,25.0 ,14.0 ,11.00 ,1.100 ,48.0 ,47.0 ,47.0 ,46.0 ,11 ,,4.83 ,,3.75 ,,15 
¹ø¿µ³óÀå,2017-10-09,2017,10,9,¿ù,41,4 ,,27.5 ,7.0 ,11.46 ,1.146 ,52.0 ,51.0 ,50.0 ,54.0 ,18 ,,5.00 ,,4.00 ,,14 
¹ø¿µ³óÀå,2017-10-15,2017,10,15,ÀÏ,42,1 ,,13.0 ,4.0 ,8.74 ,0.874 ,37.0 ,29.0 ,39.0 ,25.0 ,13 ,,6.75 ,,5.75 ,,21 
¹ø¿µ³óÀå,2017-10-15,2017,10,15,ÀÏ,42,2 ,,23.0 ,8.5 ,11.62 ,1.162 ,51.0 ,47.0 ,48.0 ,43.0 ,13 ,,5.25 ,,4.75 ,,13 
¹ø¿µ³óÀå,2017-10-15,2017,10,15,ÀÏ,42,3 ,,13.5 ,10.0 ,8.86 ,0.886 ,42.0 ,39.0 ,44.0 ,40.0 ,12 ,,5.25 ,,4.50 ,,14 
¹ø¿µ³óÀå,2017-10-15,2017,10,15,ÀÏ,42,4 ,,20.0 ,19.0 ,11.50 ,1.150 ,51.0 ,49.0 ,54.0 ,45.0 ,13 ,,6.00 ,,5.00 ,,16 
¹ø¿µ³óÀå,2017-10-23,2017,10,23,¿ù,43,1 ,,15.0 ,16.0 ,8.90 ,0.890 ,38.0 ,35.0 ,42.0 ,39.0 ,12 ,,7.00 ,,6.33 ,,18 
¹ø¿µ³óÀå,2017-10-23,2017,10,23,¿ù,43,2 ,,24.0 ,3.0 ,13.29 ,1.329 ,52.0 ,49.0 ,52.0 ,51.0 ,13 ,,6.00 ,,5.00 ,,12 
¹ø¿µ³óÀå,2017-10-23,2017,10,23,¿ù,43,3 ,,14.0 ,5.0 ,8.00 ,0.800 ,43.0 ,45.0 ,45.0 ,52.0 ,9 ,,6.00 ,,5.00 ,,15 
¹ø¿µ³óÀå,2017-10-23,2017,10,23,¿ù,43,4 ,,17.5 ,11.0 ,8.85 ,0.885 ,53.0 ,50.0 ,53.0 ,51.0 ,13 ,,6.50 ,,5.33 ,,13 
¹ø¿µ³óÀå,2017-10-30,2017,10,30,¿ù,44,1 ,,15.0 ,4.0 ,9.48 ,0.948 ,50.0 ,48.0 ,48.0 ,49.0 ,14 ,,7.17 ,,7.00 ,1.75 ,18 
¹ø¿µ³óÀå,2017-10-30,2017,10,30,¿ù,44,2 ,,19.0 ,1.0 ,10.41 ,1.041 ,56.0 ,55.0 ,54.0 ,52.0 ,14 ,,6.33 ,,6.00 ,1.50 ,14 
¹ø¿µ³óÀå,2017-10-30,2017,10,30,¿ù,44,3 ,,17.5 ,1.0 ,9.61 ,0.961 ,49.0 ,48.0 ,45.0 ,47.0 ,13 ,,7.00 ,,5.00 ,1.66 ,11 
¹ø¿µ³óÀå,2017-10-30,2017,10,30,¿ù,44,4 ,,18.0 ,3.0 ,12.04 ,1.204 ,55.0 ,54.0 ,54.0 ,56.0 ,16 ,,7.00 ,,6.00 ,2.00 ,15 
¹ø¿µ³óÀå,2017-11-07,2017,11,7,È­,45,1 ,,21.0 ,2.0 ,10.32 ,1.032 ,40.0 ,40.0 ,42.0 ,40.0 ,11 ,,8.33 ,,6.00 ,1.33 ,16 
¹ø¿µ³óÀå,2017-11-07,2017,11,7,È­,45,2 ,,20.0 ,8.0 ,13.14 ,1.314 ,51.0 ,50.0 ,57.0 ,49.0 ,12 ,,7.00 ,,6.33 ,1.00 ,13 
¹ø¿µ³óÀå,2017-11-07,2017,11,7,È­,45,3 ,,23.0 ,7.5 ,10.32 ,1.032 ,40.0 ,38.0 ,39.0 ,32.0 ,11 ,,7.20 ,,7.00 ,1.66 ,11 
¹ø¿µ³óÀå,2017-11-07,2017,11,7,È­,45,4 ,,19.0 ,2.0 ,10.91 ,1.091 ,44.0 ,42.0 ,40.0 ,41.0 ,11 ,,7.25 ,,7.00 ,1.66 ,19 
¹ø¿µ³óÀå,2017-11-14,2017,11,14,È­,46,1 ,,20.0 ,5.0 ,11.22 ,1.122 ,42.0 ,38.0 ,45.0 ,42.0 ,11 ,,8.33 ,,6.00 ,2.00 ,16 
¹ø¿µ³óÀå,2017-11-14,2017,11,14,È­,46,2 ,,18.0 ,6.0 ,12.54 ,1.254 ,45.0 ,48.0 ,55.0 ,48.0 ,12 ,,7.00 ,,6.33 ,1.66 ,13 
¹ø¿µ³óÀå,2017-11-14,2017,11,14,È­,46,3 ,,21.0 ,6.5 ,10.55 ,1.055 ,44.0 ,40.0 ,42.0 ,33.0 ,11 ,,7.20 ,,7.00 ,2.00 ,11 
¹ø¿µ³óÀå,2017-11-14,2017,11,14,È­,46,4 ,,20.0 ,3.0 ,10.22 ,1.022 ,43.0 ,39.0 ,43.0 ,38.0 ,11 ,,7.25 ,,7.00 ,2.00 ,19 
¹ø¿µ³óÀå,2017-11-21,2017,11,21,È­,47,1 ,,22.0 ,11.0 ,12.34 ,1.234 ,43.0 ,37.0 ,40.0 ,31.0 ,14 ,,9.33 ,,8.33 ,3.67 ,14 
¹ø¿µ³óÀå,2017-11-21,2017,11,21,È­,47,2 ,,27.0 ,3.0 ,11.94 ,1.194 ,44.0 ,40.0 ,48.0 ,40.0 ,12 ,,8.67 ,,8.00 ,3.33 ,14 
¹ø¿µ³óÀå,2017-11-21,2017,11,21,È­,47,3 ,,23.0 ,2.0 ,13.10 ,1.310 ,43.0 ,40.0 ,41.0 ,37.0 ,14 ,,8.00 ,,7.00 ,3.00 ,10 
¹ø¿µ³óÀå,2017-11-21,2017,11,21,È­,47,4 ,,21.0 ,2.0 ,9.91 ,0.991 ,41.0 ,42.0 ,42.0 ,40.0 ,13 ,,9.00 ,,7.00 ,2.67 ,10 
¹ø¿µ³óÀå,2017-11-27,2017,11,28,¿ù,48,1 ,,12.5 ,1.0 ,9.24 ,0.924 ,41.0 ,40.0 ,41.0 ,37.0 ,15 ,,10.00 ,,8.67 ,4.00 ,14 
¹ø¿µ³óÀå,2017-11-27,2017,11,28,¿ù,48,2 ,,14.5 ,6.5 ,10.75 ,1.075 ,48.0 ,19.0 ,34.0 ,25.0 ,14 ,,9.25 ,,8.33 ,4.00 ,13 
¹ø¿µ³óÀå,2017-11-27,2017,11,28,¿ù,48,3 ,,14.0 ,2.0 ,9.91 ,0.991 ,41.0 ,40.0 ,45.0 ,41.0 ,15 ,,6.80 ,,7.00 ,3.33 ,9 
¹ø¿µ³óÀå,2017-11-27,2017,11,28,¿ù,48,4 ,,16.0 ,1.0 ,9.61 ,0.961 ,42.0 ,40.0 ,40.0 ,41.0 ,13 ,,10.00 ,,8.33 ,4.00 ,13 
¹ø¿µ³óÀå,2017-12-05,2017,12,5,È­,49,1 ,,16.0 ,11.0 ,7.75 ,0.775 ,38.0 ,27.9 ,32.5 ,23.0 ,13 ,,10.33 ,,9.75 ,,16 
¹ø¿µ³óÀå,2017-12-05,2017,12,5,È­,49,2 ,,22.3 ,26.3 ,10.97 ,1.097 ,42.0 ,37.9 ,42.5 ,36.2 ,11 ,,9.75 ,,8.75 ,,15 
¹ø¿µ³óÀå,2017-12-05,2017,12,5,È­,49,3 ,,22.0 ,21.4 ,10.48 ,1.048 ,50.8 ,42.6 ,42.3 ,32.6 ,12 ,,8.66 ,,7.75 ,,11 
¹ø¿µ³óÀå,2017-12-05,2017,12,5,È­,49,4 ,,21.8 ,36.5 ,11.04 ,1.104 ,42.3 ,40.5 ,41.8 ,42.5 ,9 ,,9.33 ,,8.75 ,,15 
