"PUMJ(x1, 매끄러운 정도)","MJDEFTCD(x1, 소재의 결함)","JEJIL(x, 재질-카본, 구리, 질소)",COILLEN(길이),ACTWGT(무게),COILOTDIA(외경),SCRWGTADM(높이),SCRWT1(무게),WRKTIME(작업시간),"TCMSPDAVE(x, 압연 평균 속도)","PLSPDAVE(x, 산세 평균 속도)",TENSION1,TENSION2,TENSION3,TENSION4,TENSION5,합격여부
B,1,2,9062,14261,1739,110,72,5,1537,187,0,0,0,0,0,1
B,1,2,10304,16271,1844,104,82,7,1574,198,110,120,125,130,60,1
B,1,2,9017,14211,1735,116,81,7,1494,179,110,120,125,130,60,1
B,1,2,9100,14161,1742,124,83,6,1358,148,110,120,125,130,60,1
B,1,2,8948,14141,1730,160,73,15,1136,88,110,120,125,130,60,1
B,1,2,18100,27731,2377,219,153,12,1573,180,110,120,125,130,60,1
B,1,2,18323,27911,2390,214,157,11,1612,187,110,120,125,130,60,1
B,0,2,18324,28051,2391,195,153,11,1627,195,110,120,125,130,60,1
B,1,2,18417,28141,2396,212,158,12,1626,191,110,120,125,130,60,1
B,1,2,8674,13211,1689,118,75,5,1541,195,110,120,125,130,60,1
B,1,2,18408,28021,2396,258,223,15,1290,160,110,120,125,130,60,1
B,1,2,18335,26741,2337,204,157,12,1621,185,110,120,125,130,60,1
B,1,2,9105,14191,1743,138,74,6,1512,177,0,0,0,0,0,1
B,1,2,9619,14171,1742,107,83,6,1580,178,110,120,125,130,60,1
B,1,2,9124,14151,1745,169,73,6,1418,152,110,120,125,130,60,1
B,1,2,8985,14121,1733,155,82,17,1070,78,110,120,125,130,60,1
B,1,2,18244,28381,2410,263,157,12,1586,171,110,120,125,130,60,1
B,1,2,18961,28511,2430,206,154,11,1633,196,110,120,125,130,60,1
B,1,2,10153,15293,1814,156,80,6,1601,205,110,120,125,130,60,1
B,1,2,18862,28351,2424,210,156,12,1632,194,110,120,125,130,60,1
B,1,2,10361,15621,1831,119,75,7,1596,191,110,120,125,130,60,1
B,1,2,18414,27601,2396,243,154,11,1621,191,110,120,125,130,60,1
B,1,2,9918,14971,1795,105,82,6,1585,192,110,120,125,130,60,1
B,1,2,10538,15281,1845,219,79,6,1620,190,110,120,125,130,60,1
B,1,2,8613,12491,1683,195,70,6,1553,187,110,120,125,130,60,1
B,1,2,10596,15361,1850,225,70,7,1593,183,110,120,125,130,60,1
B,1,2,11941,19040,1888,275,91,7,1581,148,110,120,125,130,60,1
B,1,2,9465,15180,1698,254,114,17,998,78,110,120,125,130,60,0
B,1,2,12070,19250,1897,237,115,8,1602,172,110,120,125,130,60,1
B,1,2,20644,32990,2440,383,175,13,1638,183,110,120,125,130,60,1
B,1,2,20504,32860,2433,362,176,12,1646,178,110,120,125,130,60,1
B,1,2,20696,33080,2443,365,176,12,1638,179,110,120,125,130,60,1
B,1,2,20008,31950,2404,357,178,13,1640,178,110,120,125,130,60,1
B,0,2,12017,19180,1893,262,84,7,1632,180,110,120,125,130,60,1
B,1,2,14074,21030,1975,265,99,9,1629,151,110,120,125,130,60,1
B,1,2,14206,21380,1983,186,90,8,1640,197,110,120,125,130,60,1
B,0,2,12938,19520,1899,119,91,8,1610,188,110,120,125,130,60,1
B,0,2,12671,19060,1881,292,99,10,1300,121,110,120,125,130,60,1
B,1,2,11703,17660,1814,24,241,8,1464,127,110,120,125,130,60,1
B,0,2,10399,15810,1738,130,93,7,1570,161,110,120,125,130,60,1
B,0,2,11153,16710,1774,156,90,7,1564,202,110,120,125,130,60,1
B,1,2,10388,15820,1737,141,75,6,1566,162,0,0,0,0,0,1
B,1,2,10097,15840,1737,141,76,7,1412,131,110,120,125,130,60,1
B,1,2,10291,15740,1730,165,86,18,1111,80,110,120,125,130,60,0
B,0,2,12555,18920,1907,148,96,8,1559,161,110,120,125,130,60,1
B,1,2,8303,12490,1607,157,65,5,1554,160,110,120,125,130,60,1
B,0,2,19915,27901,2351,208,159,12,1637,174,110,120,125,130,60,1
B,1,2,20369,28501,2409,213,168,13,1642,172,110,120,125,130,60,1
B,1,2,19886,27631,2381,247,144,12,1590,170,110,120,125,130,60,1
B,0,2,20051,28051,2391,231,138,12,1639,176,110,120,125,130,60,1
B,0,2,9505,13301,1690,101,76,6,1567,168,110,120,125,130,60,1
B,0,2,20037,28100,2390,166,145,12,1639,176,110,120,125,130,60,1
B,0,2,10277,13281,1728,134,64,7,1571,168,110,120,125,130,60,1
B,0,2,21256,27491,2425,245,150,13,1638,175,110,120,125,130,60,1
B,0,2,11216,14571,1799,108,79,7,1596,169,110,120,125,130,60,1
B,0,2,11297,14551,1824,10,77,7,1530,143,110,120,125,130,60,1
B,0,2,11119,14371,1792,144,71,8,1343,171,110,120,125,130,60,1
B,0,2,10926,14121,1797,-42,21,7,1560,167,110,120,125,130,60,1
B,0,2,12908,19890,1940,157,81,9,1454,141,110,120,125,130,60,1
B,1,2,13534,20980,1983,196,77,20,1134,91,110,120,125,130,60,1
B,0,2,12696,19640,1925,124,84,8,1633,174,110,120,125,130,60,1
B,0,2,14041,21690,2017,137,96,8,1613,163,110,120,125,130,60,1
B,0,2,12742,19690,1928,132,96,8,1639,175,110,120,125,130,60,1
B,0,2,13880,21410,2006,141,87,8,1654,174,110,120,125,130,60,1
B,0,2,14035,21700,2017,125,89,9,1647,170,110,120,125,130,60,1
B,0,2,13667,21170,1992,132,76,8,1649,181,110,120,125,130,60,1
B,0,2,11837,20380,1962,154,83,8,1625,188,110,120,125,130,60,1
B,0,2,11532,19950,1938,122,90,7,1539,173,110,120,125,130,60,1
B,0,2,13552,21830,2027,154,89,8,1641,192,110,120,125,130,60,1
B,0,2,12922,20840,1983,143,75,8,1626,184,110,120,125,130,60,1
B,0,2,13509,21820,2024,144,89,8,1616,174,110,120,125,130,60,1
B,0,2,13514,21850,2024,152,76,8,1618,190,110,120,125,130,60,1
B,0,2,13095,21130,1995,137,86,10,1440,177,110,120,125,130,60,1
B,0,2,13461,19480,1956,37,91,9,1493,140,110,120,125,130,60,1
B,1,2,15046,21900,2061,46,81,19,1195,96,110,120,125,130,60,1
B,0,2,15145,21930,2067,36,84,10,1615,163,110,120,125,130,60,1
B,0,2,15408,22370,2083,39,79,9,1646,171,110,120,125,130,60,1
B,0,2,14978,21740,2056,14,89,9,1638,170,110,120,125,130,60,1
B,0,2,15198,22070,2070,-12,90,9,1653,168,110,120,125,130,60,1
B,0,2,13877,20130,1984,45,82,9,1647,175,110,120,125,130,60,1
B,0,2,14656,21200,2035,43,93,9,1659,171,110,120,125,130,60,1
B,0,2,15165,22080,2068,39,83,9,1665,177,110,120,125,130,60,1
B,0,2,9701,14931,1773,110,92,7,1494,183,110,120,125,130,60,1
B,0,2,15274,22150,2075,43,89,12,1203,129,110,120,125,130,60,1
B,0,2,11560,15471,1803,153,83,7,1610,164,110,120,125,130,60,1
B,0,2,23119,31195,2495,22,145,14,1591,165,110,120,125,130,60,1
B,1,2,22612,30411,2469,201,159,14,1650,165,110,120,125,130,60,1
B,0,2,21761,30171,2464,225,155,13,1648,174,110,120,125,130,60,1
B,1,2,10985,15131,1790,136,80,8,1426,133,110,120,125,130,60,1
B,1,2,10839,15111,1779,161,71,17,1126,86,0,0,0,0,0,1
B,1,2,21957,30481,2474,223,166,13,1637,165,110,120,125,130,60,1
B,0,2,21756,30271,2463,196,154,13,1624,171,110,120,125,130,60,1
B,1,2,10871,15091,1781,130,71,7,1550,162,110,120,125,130,60,1
B,0,2,21816,30301,2467,225,155,14,1606,168,110,120,125,130,60,1
B,1,2,10899,15051,1783,161,71,7,1424,134,110,120,125,130,60,1
B,0,2,10816,15101,1787,299,0,14,0,0,0,0,0,0,0,1
B,0,2,10465,14371,1750,113,83,7,1537,154,0,0,0,0,0,1
B,0,2,10945,14271,1759,97,80,7,1530,161,0,0,0,0,0,1
B,0,2,10404,14231,1746,141,71,7,1538,161,110,120,125,130,60,1
B,0,2,10880,14201,1754,130,73,7,1537,156,110,120,125,130,60,1
B,0,2,11038,14381,1766,133,70,7,1528,155,110,120,125,130,60,1
B,0,2,10902,14221,1756,110,77,7,1523,156,110,120,125,130,60,1
B,0,2,9938,14361,1786,110,79,7,1497,163,110,120,125,130,60,1
B,1,2,12386,16381,1944,131,90,9,1415,141,110,120,125,130,60,1
B,1,2,10801,14271,1825,99,69,7,1470,172,110,120,125,130,60,1
B,1,2,12279,16260,1772,51,81,9,1456,124,110,120,125,130,60,0
B,1,2,14747,21790,2019,202,95,21,1088,95,110,120,125,130,60,1
B,1,2,12186,16220,1766,5,74,8,1555,147,110,120,125,130,60,0
B,0,2,12065,16240,1768,650,0,7,0,0,0,0,0,0,0,1
B,0,2,12257,16300,1771,-12,82,7,1554,158,110,120,125,130,60,0
B,0,2,12249,16484,1770,-173,83,8,1553,174,110,120,125,130,60,0
B,1,2,12287,16340,1773,12,82,8,1559,160,110,120,125,130,60,0
B,1,2,12191,16240,1766,16,75,8,1552,160,110,120,125,130,60,0
B,0,2,12249,16230,1770,34,74,8,1561,161,110,120,125,130,60,1
B,0,2,12225,16250,1769,0,74,8,1541,159,110,120,125,130,60,0
B,0,2,12304,16330,1774,73,81,8,1550,159,110,120,125,130,60,0
B,1,2,12269,16320,1771,11,83,7,1557,160,110,120,125,130,60,0
B,1,2,12220,16230,1768,-13,83,8,1531,158,110,120,125,130,60,1
B,1,2,12224,16300,1768,28,73,8,1544,159,110,120,125,130,60,0
B,1,2,12212,16240,1768,5,74,8,1527,158,110,120,125,130,60,1
B,1,2,12569,16680,1791,4,82,8,1527,157,110,120,125,130,60,0
B,1,2,12253,16160,1770,54,74,10,1326,156,110,120,125,130,60,1
B,1,2,13444,17601,1898,26,69,9,1544,142,110,120,125,130,60,1
B,1,2,14951,19631,1994,96,78,20,1134,86,110,120,125,130,60,1
B,1,2,12212,14801,1772,4,75,9,1434,160,110,120,125,130,60,0
B,1,2,14335,17131,1907,-36,78,9,1588,150,110,120,125,130,60,1
B,1,2,11408,13541,1718,35,65,7,1532,158,110,120,125,130,60,0
B,1,2,14387,17101,1911,2,68,9,1587,169,110,120,125,130,60,1
B,1,2,14341,17091,1908,-10,69,9,1587,163,110,120,125,130,60,1
B,1,2,13850,16561,1877,4,75,9,1587,158,110,120,125,130,60,1
B,1,2,12325,14771,1780,-9,67,8,1556,161,110,120,125,130,60,0
B,1,2,11748,14031,1741,3,75,7,1543,174,110,120,125,130,60,0
B,1,2,12172,14751,1779,519,0,8,0,0,0,0,0,0,0,1
B,1,2,11355,13761,1724,489,0,8,0,0,0,0,0,0,0,1
B,1,2,12390,14741,1784,23,66,8,1479,139,110,120,125,130,60,1
B,1,2,12296,14671,1778,21,75,17,1177,91,110,120,125,130,60,0
B,1,2,12362,14721,1782,-6,75,9,1287,155,110,120,125,130,60,1
B,1,2,10959,15180,1700,-24,83,8,1401,120,110,120,125,130,60,0
B,1,2,13507,20150,1938,288,89,31,1095,53,110,120,125,130,60,1
B,1,2,10816,14910,1690,36,76,7,1471,150,110,120,125,130,60,0
B,1,2,11805,16320,1758,51,76,8,1554,159,110,120,125,130,60,0
B,1,2,11314,15710,1724,4,83,7,1516,155,110,120,125,130,60,0
B,1,2,11169,15470,1714,41,76,8,1532,166,110,120,125,130,60,0
B,1,2,11710,16190,1752,21,84,7,1541,156,110,120,125,130,60,0
B,1,2,11629,16150,1746,38,74,7,1523,160,110,120,125,130,60,1
B,1,2,10617,14710,1676,-12,85,7,1535,159,110,120,125,130,60,0
B,1,2,11808,16380,1758,38,74,8,1425,135,110,120,125,130,60,0
B,1,2,11697,16170,1751,98,83,18,1109,85,110,120,125,130,60,0
B,1,2,11878,16390,1763,10,84,8,1478,151,110,120,125,130,60,0
B,1,2,11969,16797,1769,-276,84,8,1535,159,110,120,125,130,60,0
B,1,2,9258,12760,1576,47,73,6,1482,151,110,120,125,130,60,0
B,1,2,15941,20451,2024,22,76,11,1428,148,110,120,125,130,60,1
B,1,2,13588,16691,1875,6,66,9,1557,152,110,120,125,130,60,1
B,1,2,12410,15161,1798,15,75,8,1505,141,110,120,125,130,60,0
B,1,2,12392,15121,1797,4,75,8,1544,172,110,120,125,130,60,1
B,1,2,13957,17051,1898,8,75,9,1561,163,110,120,125,130,60,1
B,1,2,13885,17081,1894,-13,67,9,1548,160,110,120,125,130,60,1
B,1,2,12295,15091,1791,15,67,8,1536,160,110,120,125,130,60,1
B,1,2,13880,17031,1893,2,66,9,1573,161,110,120,125,130,60,1
B,1,2,14077,17191,1906,-22,89,9,1559,160,110,120,125,130,60,1
B,1,2,13118,16121,1845,-24,75,8,1531,157,110,120,125,130,60,1
B,0,2,10337,17280,1818,122,91,8,1332,132,110,120,125,130,60,1
B,1,2,11165,17860,1795,218,86,21,1086,69,110,120,125,130,60,1
B,0,2,8143,15260,1731,129,80,6,1439,164,110,120,125,130,60,1
