,날짜,주간평균 내부온도,주간최소 내부온도,주간최대 내부온도,주간DIF 내부온도,주간GDD 내부온도,야간평균 내부온도,야간최소 내부온도,야간최대 내부온도,야간DIF 내부온도,야간GDD 내부온도,일출전후t시간평균 내부온도,일출전후t시간최소 내부온도,일출전후t시간최대 내부온도,일출전후t시간DIF 내부온도,일출전후t시간GDD 내부온도,일출부터정오평균 내부온도,일출부터정오최소 내부온도,일출부터정오최대 내부온도,일출부터정오DIF 내부온도,일출부터정오GDD 내부온도
0,2017-10-15,,,,,,17.425416666666667,15.24,21.95,6.709999999999999,3.594999999999999,17.425416666666667,15.24,21.95,6.709999999999999,3.594999999999999,,,,,
1,2017-10-16,,,,,,17.31291666666667,15.1,22.03,6.9300000000000015,3.5650000000000013,17.31291666666667,15.1,22.03,6.9300000000000015,3.5650000000000013,,,,,
2,2017-10-17,,,,,,17.75583333333333,14.99,24.13,9.139999999999999,4.559999999999999,17.75583333333333,14.99,24.13,9.139999999999999,4.559999999999999,,,,,
3,2017-10-18,,,,,,17.13041666666666,15.51,20.79,5.279999999999999,3.1499999999999986,17.13041666666666,15.51,20.79,5.279999999999999,3.1499999999999986,,,,,
4,2017-10-19,,,,,,18.544999999999998,14.48,25.21,10.73,4.844999999999999,18.544999999999998,14.48,25.21,10.73,4.844999999999999,,,,,
5,2017-10-20,,,,,,18.713333333333335,15.02,25.29,10.27,5.155000000000001,18.713333333333335,15.02,25.29,10.27,5.155000000000001,,,,,
6,2017-10-21,,,,,,18.846666666666668,15.0,25.22,10.219999999999999,5.109999999999999,18.846666666666668,15.0,25.22,10.219999999999999,5.109999999999999,,,,,
7,2017-10-22,,,,,,18.705000000000002,14.78,24.36,9.58,4.57,18.705000000000002,14.78,24.36,9.58,4.57,,,,,
8,2017-10-23,,,,,,18.140416666666667,14.61,23.68,9.07,4.145,18.140416666666667,14.61,23.68,9.07,4.145,,,,,
9,2017-10-24,,,,,,17.906666666666663,14.7,23.77,9.07,4.234999999999999,17.906666666666663,14.7,23.77,9.07,4.234999999999999,,,,,
10,2017-10-25,,,,,,18.138749999999998,14.82,24.5,9.68,4.66,18.138749999999998,14.82,24.5,9.68,4.66,,,,,
11,2017-10-26,,,,,,18.125833333333333,14.61,24.18,9.57,4.395,18.125833333333333,14.61,24.18,9.57,4.395,,,,,
12,2017-10-27,,,,,,17.686666666666664,14.78,22.27,7.49,3.5249999999999986,17.686666666666664,14.78,22.27,7.49,3.5249999999999986,,,,,
13,2017-10-28,,,,,,18.31791666666667,14.92,24.32,9.4,4.620000000000001,18.31791666666667,14.92,24.32,9.4,4.620000000000001,,,,,
14,2017-10-29,,,,,,17.519583333333333,14.91,23.88,8.969999999999999,4.395,17.519583333333333,14.91,23.88,8.969999999999999,4.395,,,,,
15,2017-10-30,,,,,,17.423333333333332,15.2,22.33,7.129999999999999,3.7650000000000006,17.423333333333332,15.2,22.33,7.129999999999999,3.7650000000000006,,,,,
16,2017-10-31,,,,,,17.580416666666665,15.17,22.52,7.35,3.844999999999999,17.580416666666665,15.17,22.52,7.35,3.844999999999999,,,,,
17,2017-11-01,,,,,,18.07041666666667,14.8,24.82,10.02,4.810000000000002,18.07041666666667,14.8,24.82,10.02,4.810000000000002,,,,,
18,2017-11-02,,,,,,17.639583333333334,14.46,22.52,8.059999999999999,3.490000000000002,17.639583333333334,14.46,22.52,8.059999999999999,3.490000000000002,,,,,
19,2017-11-03,,,,,,16.731666666666666,14.2,19.78,5.580000000000002,1.990000000000002,16.731666666666666,14.2,19.78,5.580000000000002,1.990000000000002,,,,,
20,2017-11-04,,,,,,18.068333333333335,14.71,25.51,10.8,5.109999999999999,18.068333333333335,14.71,25.51,10.8,5.109999999999999,,,,,
